"Group_Number","Group_Index","URL_GFP","URL_TransmittedLight","URL_TxRed","URL_wellmask","PathName_GFP","PathName_TransmittedLight","PathName_TxRed","PathName_wellmask","FileName_GFP","FileName_TransmittedLight","FileName_TxRed","FileName_wellmask","Series_GFP","Series_TransmittedLight","Series_TxRed","Series_wellmask","Frame_GFP","Frame_TransmittedLight","Frame_TxRed","Frame_wellmask","Channel_GFP","Channel_TransmittedLight","Channel_TxRed","Channel_wellmask","Metadata_Date","Metadata_FileLocation","Metadata_Frame","Metadata_Plate","Metadata_Researcher","Metadata_Series","Metadata_Wavelength","Metadata_Well"
1,1,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A01_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A01_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A01_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A01_w2.TIF","20210614-p01-KJG_A01_w1.TIF","20210614-p01-KJG_A01_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A01"
1,2,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A02_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A02_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A02_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A02_w2.TIF","20210614-p01-KJG_A02_w1.TIF","20210614-p01-KJG_A02_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A02"
1,3,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A03_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A03_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A03_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A03_w2.TIF","20210614-p01-KJG_A03_w1.TIF","20210614-p01-KJG_A03_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A03"
1,4,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A04_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A04_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A04_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A04_w2.TIF","20210614-p01-KJG_A04_w1.TIF","20210614-p01-KJG_A04_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A04"
1,5,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A05_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A05_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A05_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A05_w2.TIF","20210614-p01-KJG_A05_w1.TIF","20210614-p01-KJG_A05_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A05"
1,6,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A06_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A06_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A06_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A06_w2.TIF","20210614-p01-KJG_A06_w1.TIF","20210614-p01-KJG_A06_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A06"
1,7,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A07_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A07_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A07_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A07_w2.TIF","20210614-p01-KJG_A07_w1.TIF","20210614-p01-KJG_A07_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A07"
1,8,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A08_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A08_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A08_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A08_w2.TIF","20210614-p01-KJG_A08_w1.TIF","20210614-p01-KJG_A08_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A08"
1,9,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A09_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A09_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A09_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A09_w2.TIF","20210614-p01-KJG_A09_w1.TIF","20210614-p01-KJG_A09_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A09"
1,10,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A10_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A10_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A10_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A10_w2.TIF","20210614-p01-KJG_A10_w1.TIF","20210614-p01-KJG_A10_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A10"
1,11,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A11_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A11_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A11_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A11_w2.TIF","20210614-p01-KJG_A11_w1.TIF","20210614-p01-KJG_A11_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A11"
1,12,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A12_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A12_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_A12_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_A12_w2.TIF","20210614-p01-KJG_A12_w1.TIF","20210614-p01-KJG_A12_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"A12"
1,13,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B01_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B01_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B01_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B01_w2.TIF","20210614-p01-KJG_B01_w1.TIF","20210614-p01-KJG_B01_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B01"
1,14,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B02_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B02_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B02_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B02_w2.TIF","20210614-p01-KJG_B02_w1.TIF","20210614-p01-KJG_B02_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B02"
1,15,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B03_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B03_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B03_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B03_w2.TIF","20210614-p01-KJG_B03_w1.TIF","20210614-p01-KJG_B03_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B03"
1,16,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B04_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B04_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B04_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B04_w2.TIF","20210614-p01-KJG_B04_w1.TIF","20210614-p01-KJG_B04_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B04"
1,17,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B05_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B05_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B05_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B05_w2.TIF","20210614-p01-KJG_B05_w1.TIF","20210614-p01-KJG_B05_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B05"
1,18,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B06_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B06_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B06_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B06_w2.TIF","20210614-p01-KJG_B06_w1.TIF","20210614-p01-KJG_B06_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B06"
1,19,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B07_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B07_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B07_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B07_w2.TIF","20210614-p01-KJG_B07_w1.TIF","20210614-p01-KJG_B07_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B07"
1,20,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B08_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B08_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B08_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B08_w2.TIF","20210614-p01-KJG_B08_w1.TIF","20210614-p01-KJG_B08_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B08"
1,21,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B09_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B09_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B09_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B09_w2.TIF","20210614-p01-KJG_B09_w1.TIF","20210614-p01-KJG_B09_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B09"
1,22,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B10_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B10_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B10_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B10_w2.TIF","20210614-p01-KJG_B10_w1.TIF","20210614-p01-KJG_B10_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B10"
1,23,"file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B11_w2.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B11_w1.TIF","file:/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1/20210614-p01-KJG_B11_w3.TIF","file:/Users/kendra/Desktop/wormBox/well_mask.png","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Volumes/mzamanian/ImageXpress/raw/20210614-p01-KJG_670/TimePoint_1","/Users/kendra/Desktop/wormBox","20210614-p01-KJG_B11_w2.TIF","20210614-p01-KJG_B11_w1.TIF","20210614-p01-KJG_B11_w3.TIF","well_mask.png",0,0,0,0,0,0,0,0,-1,-1,-1,-1,"20210614",nan,"0","p01","KJG","0",nan,"B11"
